poi_id,name,category,lat,lon,district,barri,wikipedia_title,wiki_pageviews_12m,annual_visitors,capacity_daily,entrance_fee_eur,is_green,wheelchair_accessible,heritage_protected
BCN001,Museu Picasso,museum,41.385216,2.180893,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Museu Picasso,40740,1032400,,15,0,yes,unknown
BCN002,Platja de la Barceloneta,beach,41.378419,2.192417,Ciutat Vella,la Barceloneta,Platja de la Barceloneta,1569,,,0,0,unknown,unknown
BCN003,Poble Espanyol,cultural_venue,41.369139,2.146692,Sants-Montjuïc,el Poble-sec,Poble Espanyol,20333,,,15,0,unknown,BCIL
BCN004,MACBA (Museu d'Art Contemporani de Barcelona),museum,41.38311,2.16679,Ciutat Vella,el Raval,Barcelona Museum of Contemporary Art,13911,,,12,0,yes,none
BCN005,Parc del Guinardó,park_nature,41.419536,2.169669,Horta-Guinardó,el Guinardó,Parc del Guinardó,1512,,,0,1,unknown,none
BCN006,Liceu,cultural_venue,41.380278,2.173611,Ciutat Vella,el Raval,Liceu,21588,,,,0,unknown,BCIN
BCN007,Tibidabo Amusement Park,leisure,41.421751,2.120044,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Tibidabo Amusement Park,15203,681000,,39,0,unknown,unknown
BCN008,Plaça del Sol,square_landmark,41.401629,2.156649,Gràcia,la Vila de Gràcia,Plaça del Sol,1416,,,0,0,unknown,none
BCN009,Temple Expiatori del Sagrat Cor,religious,41.422075,2.118861,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Temple Expiatori del Sagrat Cor,40903,,,,0,unknown,none
BCN010,Castell de Torre Baró,monument,41.451365,2.176299,Nou Barris,Torre Baró,Castell de Torre Baró,2677,,,,0,limited,BCIL
BCN011,Església de Sant Andreu de Palomar,religious,41.43625,2.191528,Sant Andreu,Sant Andreu,Església de Sant Andreu de Palomar,2206,,,,0,unknown,none
BCN012,Fabra i Coats,cultural_venue,41.43295,2.19064,Sant Andreu,Sant Andreu,Fabra i Coats,3485,,,0,0,unknown,none
BCN013,Mercat de la Llibertat,market,41.399722,2.153611,Gràcia,la Vila de Gràcia,Mercat de la Llibertat,1141,,,0,0,unknown,BCIL
BCN014,Turó de la Rovira / Bunkers del Carmel,viewpoint,41.4194,2.16174,Horta-Guinardó,el Carmel,Turó de la Rovira,6187,,,0,0,unknown,unknown
BCN015,Aquarium Barcelona,leisure,41.376667,2.184167,Ciutat Vella,el Barri Gòtic,Aquarium Barcelona,12217,,,30,0,yes,unknown
BCN016,Maritime Museum of Barcelona,museum,41.375028,2.176369,Ciutat Vella,el Raval,Maritime Museum of Barcelona,7005,256838,,10,0,yes,BCIN
BCN017,Monastery of Pedralbes,religious,41.395556,2.112222,Les Corts,Pedralbes,Monastery of Pedralbes,7768,,,5.2,0,unknown,BCIN
BCN018,La Boqueria (Mercat de Sant Josep),market,41.381796,2.171549,Ciutat Vella,el Raval,La Boqueria,25550,,,0,0,yes,none
BCN019,Fabra Observatory,architecture,41.418409,2.124047,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Fabra Observatory,5398,,,,0,unknown,BCIN
BCN020,Magic Fountain of Montjuïc,leisure,41.371139,2.151727,Sants-Montjuïc,el Poble-sec,Magic Fountain of Montjuïc,17892,,,0,0,yes,BCIL
BCN021,Passeig de Gràcia,square_landmark,41.393044,2.163786,Eixample,la Dreta de l'Eixample,Passeig de Gràcia,30036,,,0,0,unknown,unknown
BCN022,Parc del Laberint d'Horta,park_nature,41.440278,2.145556,Horta-Guinardó,Horta,Parc del Laberint d'Horta,10271,,,,1,unknown,BCIL
BCN023,Jardins del Mirador de l'Alcalde,viewpoint,41.367501,2.169289,Sants-Montjuïc,el Poble-sec,Jardins del Mirador de l'Alcalde,655,,,0,0,unknown,none
BCN024,Parc de la Pegaso,park_nature,41.427142,2.188894,Sant Andreu,la Sagrera,Parc de la Pegaso,921,,,0,1,unknown,unknown
BCN025,Royal Square (Barcelona),square_landmark,41.38,2.175,Ciutat Vella,el Barri Gòtic,Royal Square (Barcelona),18127,,,0,0,unknown,BCIL
BCN026,Camp Nou,cultural_venue,41.380833,2.122778,Les Corts,la Maternitat i Sant Ramon,Camp Nou,809206,,,28,0,limited,none
BCN027,Barcelona Cathedral,religious,41.383889,2.176389,Ciutat Vella,el Barri Gòtic,Barcelona Cathedral,151888,,,16,0,unknown,BCIN
BCN028,Encants Vells,market,41.40388,2.18595,Sant Martí,el Parc i la Llacuna del Poblenou,Encants Vells,735,,,0,0,unknown,unknown
BCN029,Rambla del Poblenou,square_landmark,41.4011,2.20119,Sant Martí,el Poblenou,Rambla del Poblenou,1119,,,0,0,unknown,unknown
BCN030,Mercat de Santa Caterina,market,41.38618,2.17834,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Mercat de Santa Caterina,2565,,,0,0,yes,none
BCN031,Royal Palace of Pedralbes,monument,41.388417,2.117028,Les Corts,Pedralbes,Royal Palace of Pedralbes,8450,,,,0,unknown,BCIN
BCN032,Museu Europeu d'Art Modern,museum,41.384992,2.180458,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Museu Europeu d'Art Modern,898,,,,0,unknown,unknown
BCN033,Mercat de la Concepció,market,41.39577,2.16874,Eixample,la Dreta de l'Eixample,Mercat de la Concepció,897,,,0,0,unknown,BCIL
BCN034,"Plaça d'Espanya, Barcelona",square_landmark,41.375038,2.149108,Sants-Montjuïc,el Poble-sec,"Plaça d'Espanya, Barcelona",25110,,,0,0,unknown,unknown
BCN035,Basílica de la Mercè,religious,41.37952,2.17958,Ciutat Vella,el Barri Gòtic,Basílica de la Mercè,3532,,,,0,unknown,BCIL
BCN036,Casa Milà,architecture,41.395278,2.161667,Eixample,la Dreta de l'Eixample,Casa Milà,166684,,,25,0,yes,BCIN
BCN037,Park Güell,park_nature,41.413611,2.152778,Gràcia,la Salut,Park Güell,209424,4400000,,18,1,limited,BCIN
BCN038,Barcelona Zoo,leisure,41.387883,2.191194,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Barcelona Zoo,11775,818288,,,0,unknown,unknown
BCN039,"Columbus Monument, Barcelona",monument,41.375803,2.177761,Ciutat Vella,el Barri Gòtic,"Columbus Monument, Barcelona",43048,,,,0,yes,BCIL
BCN040,Fundació Antoni Tàpies,museum,41.39167,2.16361,Eixample,la Dreta de l'Eixample,Museu Tàpies,3507,40219,,,0,unknown,BCIN
BCN041,Montjuïc Castle,monument,41.36342,2.16617,Sants-Montjuïc,el Poble-sec,Montjuïc Castle,44801,757700,,,0,yes,BCIN
BCN042,Casa de les Punxes,architecture,41.39798,2.163783,Eixample,la Dreta de l'Eixample,Casa de les Punxes,12836,,,,0,unknown,BCIN
BCN043,Jardí Botànic de Barcelona,park_nature,41.3618,2.1587,Sants-Montjuïc,el Poble-sec,Jardí Botànic de Barcelona,5586,,,,1,yes,none
BCN044,CosmoCaixa Barcelona,museum,41.413056,2.131111,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,CosmoCaixa Barcelona,10347,1266989,,8,0,yes,unknown
BCN045,Estadi Olímpic Lluís Companys,cultural_venue,41.364722,2.155556,Sants-Montjuïc,el Poble-sec,Estadi Olímpic Lluís Companys,263777,,,,0,yes,BCIL
BCN046,Parc de la Ciutadella,park_nature,41.388111,2.187517,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Parc de la Ciutadella,44304,,,0,1,unknown,BCIN
BCN047,Palau de la Música Catalana,cultural_venue,41.387667,2.175278,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Palau de la Música Catalana,63643,,,,0,yes,BCIN
BCN048,Parc de les Aigües,park_nature,41.413056,2.165278,Horta-Guinardó,el Baix Guinardó,Parc de les Aigües (Barcelona),1494,,,0,1,unknown,unknown
BCN049,Platja del Bogatell,beach,41.393889,2.20625,Sant Martí,el Poblenou,Platja del Bogatell,1390,,,0,0,unknown,unknown
BCN050,Platja de la Mar Bella,beach,41.398528,2.211889,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Platja de la Mar Bella,1381,,,0,0,unknown,unknown
BCN051,Torre Glòries,architecture,41.403489,2.189519,Sant Martí,el Parc i la Llacuna del Poblenou,Torre Glòries,66464,,,,0,yes,none
BCN052,Plaça de la Vila de Gràcia,square_landmark,41.40011,2.15765,Gràcia,la Vila de Gràcia,Plaça de la Vila de Gràcia,2603,,,0,0,unknown,none
BCN053,Museum of the History of Barcelona,museum,41.383904,2.177691,Ciutat Vella,el Barri Gòtic,Museum of the History of Barcelona,13551,860000,,,0,yes,unknown
BCN054,Mercat de Sant Antoni,market,41.378611,2.162083,Eixample,Sant Antoni,Mercat de Sant Antoni,2745,,,0,0,unknown,BCIL
BCN055,Casa Batlló,architecture,41.39158,2.16492,Eixample,la Dreta de l'Eixample,Casa Batlló,251094,,,,0,unknown,BCIN
BCN056,Sagrada Família,religious,41.40369,2.17433,Eixample,la Sagrada Família,Sagrada Família,2299017,4707367,,26,0,yes,BCIN
BCN057,Design Museum of Barcelona,museum,41.402222,2.1875,Sant Martí,el Parc i la Llacuna del Poblenou,Design Museum of Barcelona,8194,,,,0,unknown,unknown
BCN058,Casa Amatller,architecture,41.391449,2.165009,Eixample,la Dreta de l'Eixample,Casa Amatller,18528,,,,0,unknown,BCIN
BCN059,Hospital de Sant Pau,architecture,41.412778,2.174444,Horta-Guinardó,el Guinardó,Hospital de Sant Pau,50810,320134,,,0,unknown,BCIN
BCN060,Jardins de Mossèn Cinto Verdaguer,park_nature,41.367617,2.164321,Sants-Montjuïc,el Poble-sec,Jardins de Mossèn Cinto Verdaguer,682,,,0,1,unknown,unknown
BCN061,Parc Central de Nou Barris,park_nature,41.43669,2.16735,Nou Barris,la Guineueta,Parc Central de Nou Barris,723,,,0,1,unknown,unknown
BCN062,Parc Diagonal Mar,park_nature,41.407413,2.213856,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Parc Diagonal Mar,803,,,0,1,unknown,none
BCN063,FC Barcelona Museum,museum,41.38039,2.120636,Les Corts,la Maternitat i Sant Ramon,FC Barcelona Museum,7563,,,28,0,yes,unknown
BCN064,Arc de Triomf,monument,41.391111,2.180556,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Arc de Triomf de Barcelona,7372,,,0,0,yes,BCIL
BCN065,Tibidabo (mountain & viewpoint),viewpoint,41.4225,2.118611,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Tibidabo,62939,,,0,0,unknown,unknown
BCN066,Casa Vicens,architecture,41.403487,2.150643,Gràcia,la Vila de Gràcia,Casa Vicens,45452,200052,,,0,yes,BCIN
BCN067,Barcelona Pavilion,architecture,41.370556,2.15,Sants-Montjuïc,el Poble-sec,Barcelona Pavilion,70720,,,,0,yes,BCIN
BCN068,Bellesguard,architecture,41.409563,2.126863,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Bellesguard,10747,,,,0,unknown,BCIN
BCN069,Plaça de Catalunya,square_landmark,41.387031,2.170079,Eixample,la Dreta de l'Eixample,Plaça de Catalunya,29999,,,0,0,yes,unknown
BCN070,La Rambla,square_landmark,41.381389,2.173056,Ciutat Vella,el Raval,"La Rambla, Barcelona",99830,,,0,0,yes,BCIL
BCN071,Museu Nacional d'Art de Catalunya,museum,41.368333,2.153306,Sants-Montjuïc,el Poble-sec,Museu Nacional d'Art de Catalunya,47661,698204,,12,0,yes,BCIN
BCN072,Fundació Joan Miró,museum,41.368611,2.16,Sants-Montjuïc,el Poble-sec,Fundació Joan Miró,18217,358783,,18,0,unknown,unknown
BCN073,Museu Blau (Museu de Ciències Naturals),museum,41.411039,2.22133,Sant Martí,el Besòs i el Maresme,Museu de Ciències Naturals de Barcelona,2107,,,,0,unknown,unknown
BCN074,Parc del Centre del Poblenou,park_nature,41.407764,2.201428,Sant Martí,Provençals del Poblenou,Parc del Centre del Poblenou,851,,,0,1,unknown,unknown
BCN075,Basílica de Santa Maria del Mar,religious,41.383611,2.181944,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera","Santa Maria del Mar, Barcelona",43218,,,,0,unknown,BCIN
BCN076,El Born CCM (former Mercat del Born),cultural_venue,41.385397,2.1841,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Mercat del Born,3992,,,0,0,unknown,BCIL
